ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,college,64.8569,-147.8028,11.15,88,100,4.63,US,1722593005
85,kaoma,-14.7833,24.8,27.57,17,2,4.16,ZM,1722593006
86,touros,-5.1989,-35.4608,22.41,81,15,5.16,BR,1722593009
87,bambanglipuro,-7.95,110.2833,26.15,81,64,4.08,ID,1722593010
88,vershino-darasunskiy,52.35,115.5167,22.19,22,79,0.77,RU,1722593011
89,olonkinbyen,70.9221,-8.7187,5.87,92,99,7.84,SJ,1722592732
90,al wajh,26.2455,36.4525,34.97,49,0,4.12,SA,1722593015
91,chikitigarh,19.2,84.6167,30.19,60,100,4.27,IN,1722593016
92,broken hill,-31.95,141.4333,11.85,38,4,3.15,AU,1722593017
93,wailua homesteads,22.0669,-159.378,24.24,78,40,3.6,US,1722593018
94,punta arenas,-53.15,-70.9167,4.06,87,100,5.66,CL,1722593020
95,colonia,50.9333,6.95,24.38,85,40,1.03,DE,1722593021
96,petropavlovsk-kamchatsky,53.0452,158.6483,18.33,68,20,2.0,RU,1722593022
97,nyurba,63.2842,118.3319,19.46,42,7,1.11,RU,1722593023
98,portland,45.5234,-122.6762,23.9,69,5,0.45,US,1722592445
99,smithers,54.7804,-127.1743,9.18,87,40,0.0,CA,1722593026
100,nova sintra,14.8667,-24.7167,24.54,76,63,6.47,CV,1722593027
101,palikir - national government center,6.9248,158.1611,25.41,94,20,2.06,FM,1722593029
102,mahina,-17.5065,-149.489,19.87,77,0,2.06,PF,1722593030
103,balsas,-7.5325,-46.0356,20.69,50,4,1.55,BR,1722593032
104,dalbandin,28.8947,64.4101,41.06,7,93,3.95,PK,1722593033
105,rikaze,29.25,88.8833,21.41,28,100,2.76,CN,1722593034
106,hithadhoo,-0.6,73.0833,28.92,73,79,5.07,MV,1722593035
107,pokhvistnevo,53.6524,52.1274,24.33,42,47,8.1,RU,1722593037
108,argo,37.6333,22.7333,29.32,18,0,1.96,GR,1722593038
109,edinburgh of the seven seas,-37.0676,-12.3116,9.75,61,82,11.99,SH,1722593039
110,chokwe,-24.5333,32.9833,27.12,42,1,4.3,MZ,1722593040
111,puerto natales,-51.7236,-72.4875,1.91,98,100,1.31,CL,1722593043
112,lihue,21.9789,-159.3672,24.58,78,40,3.6,US,1722593044
113,labytnangi,66.6572,66.4183,23.96,54,55,6.93,RU,1722593045
114,nemuro,43.3236,145.575,16.51,89,65,3.94,JP,1722593046
115,badger,64.8,-147.5333,11.1,90,100,4.63,US,1722593048
116,avarua,-21.2078,-159.775,19.03,77,75,0.51,CK,1722593049
117,morant bay,17.8815,-76.4093,26.52,83,100,2.12,JM,1722593050
118,meizhou,24.2977,116.1072,32.7,64,2,0.71,CN,1722593051
119,roma,43.2128,-75.4557,20.96,99,0,1.54,US,1722593052
120,las tablas,7.7667,-80.2833,25.1,99,99,1.45,PA,1722593054
121,peniche,39.3558,-9.3811,22.89,80,11,7.95,PT,1722593055
122,bikin,46.8161,134.26,22.64,88,100,0.24,RU,1722593056
123,lincoln,40.8,-96.667,21.12,92,0,2.06,US,1722592600
124,invercargill,-46.4,168.35,1.68,94,5,1.24,NZ,1722592968
125,klyuchi,52.2667,79.1667,33.7,22,54,4.87,RU,1722593061
126,jamestown,42.097,-79.2353,21.68,98,100,0.0,US,1722593062
127,sola,-13.8833,167.55,25.37,94,100,3.09,VU,1722593063
128,udachny,66.4167,112.4,18.88,39,88,3.43,RU,1722593064
129,malango,-2.9627,119.9001,20.63,98,74,1.26,ID,1722593066
130,anadyr,64.75,177.4833,8.28,93,75,6.0,RU,1722593067
131,celarevo,45.2694,19.5253,33.31,32,99,6.41,RS,1722593068
132,minas de marcona,-15.2119,-75.1103,9.42,94,8,3.27,PE,1722593069
133,puerto baquerizo moreno,-0.9,-89.6,18.94,83,61,5.39,EC,1722593070
134,obo,5.3998,26.4869,28.41,64,88,1.4,CF,1722593072
135,pajara,28.3504,-14.1076,22.73,59,11,8.16,ES,1722593073
136,margaret river,-33.95,115.0667,11.63,68,67,1.39,AU,1722593074
137,langenargen,47.6,9.55,26.32,69,20,4.63,DE,1722593075
138,iqaluit,63.7506,-68.5145,4.85,75,75,2.57,CA,1722593077
139,ushuaia,-54.8,-68.3,1.81,100,100,1.03,AR,1722593078
140,kill devil hills,36.0307,-75.676,27.77,94,0,5.14,US,1722593079
141,ilhabela,-23.7781,-45.3581,18.81,94,16,2.22,BR,1722593080
142,hawaiian paradise park,19.5933,-154.9731,22.73,95,75,1.54,US,1722593082
143,longyearbyen,78.2186,15.6401,13.91,72,0,3.6,SJ,1722593084
144,lorengau,-2.0226,147.2712,27.76,81,49,3.22,PG,1722593085
145,opuwo,-18.0607,13.84,28.05,12,0,3.87,NA,1722593086
146,puerto ayora,-0.7393,-90.3518,18.68,90,41,3.56,EC,1722593087
147,diu,20.7141,70.9822,28.2,82,100,9.99,IN,1722593089
148,chui,-33.6971,-53.4616,16.6,78,52,5.11,UY,1722593090
149,coahuayana de hidalgo,18.7,-103.6583,24.73,89,98,1.42,MX,1722593091
150,kingston,17.997,-76.7936,25.65,94,97,1.14,JM,1722593092
151,eyl,7.9803,49.8164,33.33,41,90,13.7,SO,1722593094
152,tezpur,26.6333,92.8,29.31,78,97,1.6,IN,1722593095
153,mount gambier,-37.8333,140.7667,9.02,93,100,2.3,AU,1722593096
154,peterhead,57.5058,-1.7981,21.36,85,67,8.24,GB,1722593097
155,port-vila,-17.7338,168.3219,22.78,94,75,1.03,VU,1722592836
156,puerto armuelles,8.2833,-82.8667,23.38,92,100,0.45,PA,1722593100
157,tralee,52.2704,-9.7026,16.14,88,75,4.63,IE,1722593101
158,caraballeda,10.6112,-66.8522,26.87,79,40,2.06,VE,1722593102
159,freetown,8.484,-13.2299,25.05,88,100,3.49,SL,1722593103
160,praia da vitoria,38.7333,-27.0667,24.86,83,20,3.11,PT,1722593104
161,saldanha,-33.0117,17.9442,14.03,71,66,0.22,ZA,1722593106
